,Sanitation Variable,Health Variable,Chi-squared Statistic,P-value,Cramér's V
0,has_running_water,mem_rel_dis,4.6869228746937575,0.030393029206144784,0.07709775485902712
1,has_running_water,liver_dis,4.79455781764447,0.02854978407205652,0.07821552916540143
2,has_running_water,self_com_on_health,10.494189330746924,0.032877124623446295,0.10229428290600313
3,inhouse_shower_Bath,mem_rel_dis,15.863941034303766,0.000359078145688343,0.14951939827757196
4,inhouse_shower_Bath,self_com_on_health,26.92047432935515,0.0007296894475395799,0.12358298487168526
5,cooking_fuel_source,hyp,18.10075695202955,0.00282274309085314,0.14531793007093713
6,cooking_fuel_source,rheumatism,26.278411535100464,7.87976808715371e-05,0.18522176051793235
7,cooking_fuel_source,lung_dis,13.639618372647442,0.01806815658499867,0.1179910898166265
8,cooking_fuel_source,stomach_dis,13.879778905711397,0.01639138269155677,0.11962129401698184
9,cooking_fuel_source,self_com_on_health,63.601849515319664,1.9454235124238225e-06,0.13286831783984956
10,main_toilet_type,hyp,14.730542526575892,0.005293992981055553,0.13151792967429932
11,main_toilet_type,rheumatism,24.10392740654125,7.613327725161717e-05,0.18004268345396743
12,main_toilet_type,liver_dis,13.323787701157707,0.00979743503774051,0.12258874551671911
13,main_toilet_type,self_com_on_health,46.063801121847774,9.517536479093454e-05,0.11032277082064731
14,sewage_sys,hyp,5.972199362655836,0.014533143548580436,0.08953823647298986
15,sewage_sys,mem_rel_dis,8.669853932113273,0.0032351712192168125,0.11121224243308633
16,sewage_sys,rheumatism,28.19610634833725,1.0962487540346195e-07,0.2094330449270425
17,sewage_sys,self_com_on_health,11.179924153459726,0.02461462543321346,0.10756461825403192
18,road_type,hyp,6.162386219586375,0.04590445490859614,0.08190446079701755
19,road_type,lung_dis,10.756393515450354,0.004616138445384282,0.11881939724373354
20,road_type,liver_dis,16.029584284940103,0.00033053693748887834,0.150410164847977
21,road_type,self_com_on_health,16.33258265047714,0.03785979510885393,0.08197739345873065
22,waste_management,hyp,9.069385072323136,0.028382457651949956,0.09890172818332729
23,waste_management,rheumatism,10.37994604252599,0.015597803776452203,0.10906587620837029
24,waste_management,self_com_on_health,34.125091818272466,0.0006445705651837443,0.10919414056960958
