Year,province,city,communityID,count
2011,±±¾©,±±¾©,940041,13
2011,±±¾©,±±¾©,940042,30
2011,±±¾©,±±¾©,940043,7
2011,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,3452333,7
2011,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,3477633,7
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,³à·åÊÐ,1053811,12
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,³à·åÊÐ,1053813,12
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040041,22
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040042,10
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040043,22
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,1082592,28
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,1082593,10
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1051021,17
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1051022,16
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1051023,16
2011,ËÄ´¨Ê¡,³É¶¼ÊÐ,540541,45
2011,ËÄ´¨Ê¡,ÒË±öÊÐ,563021,16
2011,ËÄ´¨Ê¡,ÒË±öÊÐ,563022,3
2011,ËÄ´¨Ê¡,ÒË±öÊÐ,563462,16
2011,ËÄ´¨Ê¡,ÒË±öÊÐ,563463,17
2011,Ìì½ò,Ìì½ò,1940371,12
2011,Ìì½ò,Ìì½ò,1940372,25
2011,Ìì½ò,Ìì½ò,1940373,20
2011,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,896762,10
2011,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,896763,23
2011,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140311,18
2011,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140313,13
2011,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140511,11
2011,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140512,8
2011,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,146431,21
2011,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,146432,7
2011,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,104461,15
2011,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,104462,10
2013,±±¾©,±±¾©,940042,8
2013,±±¾©,±±¾©,940043,1
2013,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,3452333,2
2013,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040041,8
2013,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,1082592,4
2013,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1051022,5
2013,ËÄ´¨Ê¡,³É¶¼ÊÐ,540541,24
2013,ËÄ´¨Ê¡,ÒË±öÊÐ,563022,6
2013,Ìì½ò,Ìì½ò,1940372,4
2013,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140311,8
2013,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140511,4
2013,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140512,4
2013,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,104461,2
2013,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,104462,8
2015,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040041,4
2015,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040042,2
2015,ËÄ´¨Ê¡,ÒË±öÊÐ,563022,2
2015,Ìì½ò,Ìì½ò,1940372,2
2015,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140313,2
2015,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140511,2
