Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,num_toilet,toilet_type_1,toilet_type_2,province,city,urban_nbs
2011,108259214,1082592,2 No,3 No,5 Electric,0.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259210,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259205,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259204,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259212,1082592,1 Yes,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259221,1082592,2 No,3 No,4 Liquefied Petroleum Gas,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259206,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259209,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259237,1082592,2 No,3 No,4 Liquefied Petroleum Gas,1.0,,2 Toilet with a seat,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259241,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259202,1082592,1 Yes,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259234,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259233,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259232,1082592,2 No,2 Water heater installed by the household,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259217,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259223,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259220,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259227,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259239,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259229,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259242,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259211,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
2011,108259222,1082592,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,Urban
